date,births
2012-January-01,337980
2012-February-01,316641
2012-March-01,347803
2012-April-01,337272
2012-May-01,345257
2012-June-01,346971
2012-July-01,368450
2012-August-01,359554
2012-September-01,361922
2012-October-01,347625
2012-November-01,320195
2012-December-01,340995
2011-January-01,356457
2011-February-01,338521
2011-March-01,350630
2011-April-01,346397
2011-May-01,354886
2011-June-01,348587
2011-July-01,375384
2011-August-01,373333
2011-September-01,367965
2011-October-01,357875
2011-November-01,323788
2011-December-01,353871
2008-January-01,340297
2008-February-01,319235
2008-March-01,356786
2008-April-01,329809
2008-May-01,355437
2008-June-01,358251
2008-July-01,367934
2008-August-01,387798
2008-September-01,374711
2008-October-01,367354
2008-November-01,351832
2008-December-01,356111
2007-January-01,331478
2007-February-01,309620
2007-March-01,349321
2007-April-01,332477
2007-May-01,346276
2007-June-01,350879
2007-July-01,357053
2007-August-01,369316
2007-September-01,363369
2007-October-01,344639
2007-November-01,335667
2007-December-01,348254
2005-January-01,334000
2005-February-01,317000
2005-March-01,347000
2005-April-01,334000
2005-May-01,339000
2005-June-01,346000
2005-July-01,360000
2005-August-01,357000
2005-September-01,357000
2005-October-01,337000
2005-November-01,345000
2005-December-01,348000
2005-January-01,329803
2005-February-01,307248
2005-March-01,336920
2005-April-01,330106
2005-May-01,346754
2005-June-01,337425
2005-July-01,364226
2005-August-01,360103
2005-September-01,359644
2005-October-01,354048
2005-November-01,320094
2005-December-01,343579
2003-January-01,330674
2003-February-01,303977
2003-March-01,331505
2003-April-01,324432
2003-May-01,339007
2003-June-01,327588
2003-July-01,357669
2003-August-01,359417
2003-September-01,348814
2003-October-01,345814
2003-November-01,318573
2003-December-01,334256
2002-January-01,335198
2002-February-01,303534
2002-March-01,338684
2002-April-01,323613
2002-May-01,344017
2002-June-01,331085
2002-July-01,351047
2002-August-01,361802
2002-September-01,342564
2002-October-01,344074
2002-November-01,323746
2002-December-01,326569
2001-January-01,330108
2001-February-01,317377
2001-March-01,340553
2001-April-01,317180
2001-May-01,341207
2001-June-01,341206
2001-July-01,348975
2001-August-01,360080
2001-September-01,347609
2001-October-01,343921
2001-November-01,333811
2001-December-01,336787
2001-January-01,319182
2001-February-01,297568
2001-March-01,332939
2001-April-01,316889
2001-May-01,328526
2001-June-01,332201
2001-July-01,349812
2001-August-01,351371
2001-September-01,349409
2001-October-01,332980
2001-November-01,315289
2001-December-01,333251
2000-January-01,319340
2000-February-01,298711
2000-March-01,329436
2000-April-01,319758
2000-May-01,330519
2000-June-01,327091
2000-July-01,348651
2000-August-01,344736
2000-September-01,343384
2000-October-01,332790
2000-November-01,313241
2000-December-01,333896
1999-January-01,317211
1999-February-01,291541
1999-March-01,321212
1999-April-01,314230
1999-May-01,330331
1999-June-01,321867
1999-July-01,346506
1999-August-01,339122
1999-September-01,333600
1999-October-01,328657
1999-November-01,307282
1999-December-01,329335
1998-January-01,314283
1998-February-01,301763
1998-March-01,322581
1998-April-01,312595
1998-May-01,325708
1998-June-01,318525
1998-July-01,345162
1998-August-01,346317
1998-September-01,336348
1998-October-01,336346
1998-November-01,309397
1998-December-01,322469
1997-January-01,316013
1997-February-01,295094
1997-March-01,328503
1997-April-01,309119
1997-May-01,334543
1997-June-01,329805
1997-July-01,340873
1997-August-01,350737
1997-September-01,339103
1997-October-01,330012
1997-November-01,310817
1997-December-01,314970
1996-January-01,320705
1996-February-01,301327
1996-March-01,339736
1996-April-01,317392
1996-May-01,330295
1996-June-01,329737
1996-July-01,345862
1996-August-01,352173
1996-September-01,339223
1996-October-01,330172
1996-November-01,319397
1996-December-01,326748
1995-January-01,323073
1995-February-01,304656
1995-March-01,342187
1995-April-01,327042
1995-May-01,335989
1995-June-01,335349
1995-July-01,352554
1995-August-01,350898
1995-September-01,348013
1995-October-01,332937
1995-November-01,316379
1995-December-01,331163
1993-January-01,334000
1993-February-01,304000
1993-March-01,360000
1993-April-01,330000
1993-May-01,361000
1993-June-01,333000
1993-July-01,352000
1993-August-01,350000
1993-September-01,357000
1993-October-01,345000
