date,beef,veal,pork,lamb_and_mutton,broilers,other_chicken,turkey
2012-11-01,2206.6,10.1,2078.7,12.4,3006.7,37.5,515.3
2012-10-01,2343.7,10.3,2210.4,14.2,3335,43.8,579.9
2012-09-01,2016,8.8,1911,12.5,2927.1,43.7,453.1
2012-08-01,2367.5,10.1,1997.9,14.2,3317.4,51,530.1
2012-07-01,2200.8,9.5,1721.8,12.5,3127,43.4,497.2
2012-06-01,2252.1,8.9,1750.4,12.4,3105.3,49.2,506.6
2012-05-01,2232,10.4,1926.8,13.6,3278,47.7,519.9
2012-04-01,1990.6,9.9,1841.7,12.9,2993.8,41.6,478
2012-03-01,2159.8,10,1987.9,14.2,3043.7,40.1,502.1
2012-02-01,2009,9.8,1882.9,12.3,2954,38.8,466.8
2012-01-01,2113.8,10.4,1987,12.1,3091.8,43.2,476.7
2011-12-01,2126.3,10.8,2065.6,12.5,2855.8,41.4,458.9
2011-11-01,2148.8,10.8,2086.7,12.6,2907.1,39.8,511.4
2011-10-01,2215.1,10.6,2033.2,11.7,3096.8,43.4,524.5
2011-09-01,2215.2,10.7,1954.4,11.8,3180.4,47,473.2
2011-08-01,2386.9,11.4,1892.1,13.1,3330.3,49.9,501.3
2011-07-01,2134.1,10.1,1637.1,10.9,3030.9,46.2,448.1
2011-06-01,2375,11.2,1820,12.6,3284.6,49.3,519.3
2011-05-01,2131.9,10.3,1759.7,12.9,3251.1,42.9,496.4
2011-04-01,2052.5,10.2,1790.7,14.4,2973.5,40.3,455.6
2011-03-01,2266.2,12.1,2054.4,14.1,3310.4,44.1,503.1
2011-02-01,2020.4,10.5,1768.1,10.9,2852.4,37.4,435.6
2011-01-01,2122.9,10.8,1896.2,11.2,3127.5,39.8,463
2010-12-01,2270.9,11.7,2055.4,14.9,3175,44.1,461.4
2010-11-01,2235.5,11.3,2068,14.4,3124.4,40.3,520.5
2010-10-01,2234.9,11.4,2002.7,13.1,3183.7,41,524.3
2010-09-01,2252.2,11.3,1883.5,13.1,3238.3,45.6,467.1
2010-08-01,2286.6,11.2,1815.3,12.8,3200,47.5,481.1
2010-07-01,2229.6,10.9,1702.2,12.8,3057.7,44.9,466.9
2010-06-01,2320,10.7,1831.7,14.1,3139.7,43.7,489.5
2010-05-01,2087.2,10.1,1621.3,12.6,3020,40.2,438.8
2010-04-01,2139.2,11.1,1849.1,12.9,3038.3,40.7,455.1
2010-03-01,2211.2,12.2,2040.1,17.7,3162,43.4,490
2010-02-01,1955.2,10.7,1757.5,12.4,2739.5,34.7,425.4
2010-01-01,2081.8,11.6,1809.7,12.8,2831.2,37.8,424.2
2009-12-01,2134.4,13.1,1985.3,15.9,2966.2,38.4,456.3
2009-11-01,2016.1,11.7,1921.7,14.3,2788.8,34.1,477.5
2009-10-01,2275.7,12.2,2089,14.3,3071.9,44.6,508.3
2009-09-01,2234.1,11.7,2002.1,14.8,3064.3,43.1,467.9
2009-08-01,2184.2,10.6,1868.9,13.3,3012.1,44.8,463.4
2009-07-01,2271.2,10.9,1828.5,13.9,3095.5,47.7,485.6
2009-06-01,2289,11.5,1847.7,13.8,3050.6,45.1,493.7
2009-05-01,2179.4,10.3,1716.8,13,2890.4,40.6,451
2009-04-01,2133.4,11.2,1925,15.5,2997.7,43.8,475
2009-03-01,2144,12.2,1969.7,15.9,2997,42.5,471.4
2009-02-01,1986,11,1817.3,12.7,2704.3,37.1,444.1
2009-01-01,2117.9,12,2027,13.3,2871.6,38.3,469.2
2008-12-01,2082,13.3,2052.1,15.4,2931.5,39.8,492.1
2008-11-01,1959.3,11.3,1886.1,12.8,2662.7,38.6,508.5
2008-10-01,2340.9,13.5,2159.9,15,3270.6,50.6,581.8
2008-09-01,2269.9,12.8,1975.8,14.5,3149.7,49,515.4
2008-08-01,2266.8,11.2,1803.9,13.3,3080.5,47.9,506.9
2008-07-01,2371.6,12.3,1852.5,13.7,3226.7,51.1,546
2008-06-01,2263.4,11.7,1761.8,13.1,3077.3,49.8,522
2008-05-01,2380.1,11.5,1815.5,15,3165.4,50,518.9
2008-04-01,2255.4,11.9,2015.6,15.3,3196.6,48,519.2
2008-03-01,2100.5,11.3,1962,16,2981.6,45.1,487
2008-02-01,2038.6,11,1902.7,15,2926.5,43.7,502.8
2008-01-01,2232.7,11.3,2159,14.7,3237.2,45.7,546.4
2007-12-01,2061.4,10.4,1972.7,15.4,2901.4,38.1,460.8
2007-11-01,2228.8,10.1,2045.2,16.1,3033.2,41,526
2007-10-01,2443,11.1,2145.1,16.4,3383.8,47.6,585.1
2007-09-01,2094.7,9.4,1746,13.6,2894.7,35.8,460.2
2007-08-01,2450.6,10.3,1850,14.8,3181.2,47.4,522.2
2007-07-01,2256.7,10.7,1659.5,13.5,3055,44.6,505.2
2007-06-01,2348.5,11.2,1654.1,13.7,3027,45,507.2
2007-05-01,2285.1,12.3,1762.6,15.5,3171.8,44.8,511.2
2007-04-01,2015,11.9,1711.5,15,2885.4,38.6,463.1
2007-03-01,2118.2,13.5,1861,19.6,2927.8,39.5,481.9
2007-02-01,1952.5,12.1,1636.3,14.4,2667.9,36.3,445.3
2007-01-01,2166,14.3,1898.5,15,3029.8,39.5,482.4
2006-12-01,2049.6,13.1,1796.4,15.4,2737.8,36.9,429.1
2006-11-01,2226.6,12.9,1896.4,15.4,2912.3,40.6,506
2006-10-01,2236.4,13.2,1932,15.7,3185.1,44,540.9
2006-09-01,2169.9,12.1,1753.7,14.3,2900.6,39.7,461.4
2006-08-01,2450,12.8,1780.2,14.6,3133.9,46.3,501
2006-07-01,2213.6,11.2,1552.6,13.2,2836,39.2,456.9
2006-06-01,2446.1,12.4,1663.3,14.4,3046.9,46.3,509
2006-05-01,2309,12.7,1726,16.1,3158.6,45.4,493.8
2006-04-01,1969.2,10.4,1618.3,16.9,2774.4,40.5,432.6
2006-03-01,2203.7,12.7,1877.5,18.3,3098.5,45.3,490.5
2006-02-01,1826.9,11.3,1637,14.7,2713.9,37.3,412.5
2006-01-01,2051,11.8,1820.5,16.3,3001.6,43.1,447.9
2005-12-01,2057.3,13.5,1866.3,16.5,2916.8,41.6,437.7
2005-11-01,2071.3,12.4,1843.2,15.8,2942.2,40.2,482.8
2005-10-01,2080.7,12.6,1816.2,15.8,3044.7,41.6,484.3
2005-09-01,2158,13.2,1743,15.6,3011.1,42.2,454.5
2005-08-01,2319,13.7,1752.3,15.4,3113.3,47.2,488.4
2005-07-01,2082.8,12.4,1505,13.4,2814.3,42,432
2005-06-01,2227,13.2,1706.5,15.3,3055.4,48.1,490
2005-05-01,2074,13.2,1611.4,14.8,3023.2,45.1,461
2005-04-01,1887.8,13,1703.4,15.5,2855.4,44.4,446
2005-03-01,2041.7,13.3,1803.7,19.5,3036.4,46.5,463.1
2005-02-01,1767.4,12,1629.2,15.1,2667.9,38.8,409.2
2005-01-01,1915.6,13.3,1704.8,14.5,2884.1,38.7,455.3
2004-12-01,2042,14.9,1857,17,2836.9,42.5,440
2004-11-01,1941,13.8,1799,16.5,2479.3,40.6,483.2
